cusip,issuer_name,class_title,value_usd,ssh_prnamt,ssh_prnamt_type,put_call,investment_discretion,other_managers,voting_authority_sole,voting_authority_shared,voting_authority_none
023608102,AMEREN CORP,COM,25732721.0,0,,,SOLE,,sole,shared,none
025537101,AMERICAN ELEC PWR CO INC,COM,98343000.0,0,,,SOLE,,sole,shared,none
030420103,AMERICAN WTR WKS CO INC NEW,COM,13266621.0,0,,,SOLE,,sole,shared,none
039483102,ARCHER DANIELS MIDLAND CO,COM,28806000.0,0,,Put,SOLE,,sole,shared,none
04271T100,ARRAY TECHNOLOGIES INC,COM SHS,3443148.0,0,,,SOLE,,sole,shared,none
642045108,ATLAS ENERGY SOLUTIONS INC,COM NEW,5798000.0,0,,,SOLE,,sole,shared,none
049560105,ATMOS ENERGY CORP,COM,25230238.0,0,,,SOLE,,sole,shared,none
05722G100,BAKER HUGHES COMPANY,CL A,11850151.0,0,,,SOLE,,sole,shared,none
05603J108,BKV CORP,COM,12916869.0,0,,,SOLE,,sole,shared,none
055622104,BP PLC,SPONSORED ADR,67186752.0,0,,,SOLE,,sole,shared,none
H11356104,BUNGE GLOBAL SA,COM SHS,19920401.0,0,,,SOLE,,sole,shared,none
12738K109,CADELER A S,SPON ADR,2653117.0,0,,,SOLE,,sole,shared,none
13321L108,CAMECO CORP,COM,9055200.0,0,,Put,SOLE,,sole,shared,none
136385101,CANADIAN NAT RES LTD,COM,43184793.0,0,,,SOLE,,sole,shared,none
13646K108,CANADIAN PACIFIC KANSAS CITY,COM,11849412.0,0,,,SOLE,,sole,shared,none
15135U109,CENOVUS ENERGY INC,COM,19734534.0,0,,,SOLE,,sole,shared,none
15189T107,CENTERPOINT ENERGY INC,COM,25541425.0,0,,,SOLE,,sole,shared,none
184499101,CLEAN ENERGY FUELS CORP,COM,502200.0,0,,,SOLE,,sole,shared,none
21037T109,CONSTELLATION ENERGY CORP,COM,30244500.0,0,,Put,SOLE,,sole,shared,none
22052L104,CORTEVA INC,COM,27055747.0,0,,,SOLE,,sole,shared,none
127097103,COTERRA ENERGY INC,COM,24811228.0,0,,,SOLE,,sole,shared,none
24665A103,DELEK US HLDGS INC NEW,COM,3094609.0,0,,,SOLE,,sole,shared,none
25746U109,DOMINION ENERGY INC,COM,28035000.0,0,,Put,SOLE,,sole,shared,none
260557103,DOW INC,COM,17460000.0,0,,Put,SOLE,,sole,shared,none
23345M107,DT MIDSTREAM INC,COMMON STOCK,20887631.0,0,,,SOLE,,sole,shared,none
233331107,DTE ENERGY CO,COM,26437224.0,0,,,SOLE,,sole,shared,none
26441C204,DUKE ENERGY CORP NEW,COM NEW,27869535.0,0,,,SOLE,,sole,shared,none
G29183103,EATON CORP PLC,SHS,67957500.0,0,,Put,SOLE,,sole,shared,none
29364G103,ENTERGY CORP NEW,COM,49685506.0,0,,,SOLE,,sole,shared,none
26875P101,EOG RES INC,COM,35907200.0,0,,Put,SOLE,,sole,shared,none
26884L109,EQT CORP,COM,43307045.0,0,,,SOLE,,sole,shared,none
30034W106,EVERGY INC,COM,27322334.0,0,,,SOLE,,sole,shared,none
165167735,EXPAND ENERGY CORPORATION,COM,44528000.0,0,,Put,SOLE,,sole,shared,none
336433107,FIRST SOLAR INC,COM,12668412.0,0,,,SOLE,,sole,shared,none
